comment,is_aggressive
Очень хорошая манера вождения,0
Все хорошо,0
Очень вежливый,0
Подлог,0
Хорошо,0
Вежливый водитель,0
Подал машину далеко нужно было идти до неё не отменил платное ожидание,0
Машина с обклейкой Яндекса,0
Хороший бодрый парень,0
Водитель вежливый но в машине пахло сигаретами кому то это может не понравиться,0
Смутило то что водитель считает что ситимобил наполовину принадлежит Яндексу наполовину сбер [SEP]  То что вместо Яндекса такси владеет майл он мне не поверил,0
Водитель очень плохо водит [SEP]  Укачало в машине резко останавливался или медленно едет,1
Буквы грз не совпадают,0
Все супер,0
Цвет машины светло серебристый но в темноте не совсем понятно,0
Ехал до меня более 20 минут,0
Водитель позвонил чтобы уточнить какой подъезд для максимального комфорта подачи авто,0
вежливый водитель,0
Замечательный водитель,0
Водитель ехал без навигатора поехали более длинной дорогой,0
Очень долго ехал,1
Все хорошо,0
Сидел а телефоне,0
Приехал не на точку [SEP]  Пришлось искать [SEP]  Проехал на красный свет,1
Очень разговорчивый и приятный водитель,0
Разговаривал по телефону,0
Водитель был непристегнут всю поездку ждал не на точке заказа и поехал не в ту сторону поездка заняла на 20 минут больше,1
Приятная тетенька водитель,0
Подъехал на другую сторону дороги я пошел к подземному переходу и позвонил попросить выключить платное ожидание спокойно объяснил ему что он остановился через дорогу но ничего я сам перейду отключите платное ожидание только в ответ он мне начал грубить говорить что подъехал он все правильно а я вообще сам не знаю куда вышел еще и прошу его о чем то в общем испортил настроение наорал но хотя бы до дома довез а это извините комфорт плюс,0
Машина была не та что в заказе [SEP]  Фактический номер был х735ха регион не запомнила цвет серый киа модель скорее всего Рио,1
ел картошечку из Макдональдса,0
Всю дорогу ругался с поддержкой по поводу стоимости поездки [SEP]  Не смотрел на дорогу а толтко в 2 телефона находу создал несколько предаварийных ситуаций [SEP]  На дороге вёл себя агрессивно сильно разгонялся резко тормозил [SEP]  Постоянно выспрашивал у меня детали оплаты поездки ругался и ворчал [SEP]  Настроение испортил,1
Милый дедушка [SEP]  Вежливый,0
попался второй раз этот водитель очень приветливый и хороший,0
Построил маршрут чтоб поехать на заправку  [SEP]  Я отказала ,0
«Нет» тыкнулось случайно [SEP]  Всё в поездке было хорошо,0
Прекрасный терпеливый водитель,0
Ошибся номер совпадает,0
Расстраивает что ездит по третьему кольцу а не по улицам с полосой,0
Навигатором пользоваться не умеет регион 799 а не 750,0
Очень классный водитель премию такому,0
Это фургон комфортом и не пахнет водит стрёмно,1
Запах пота и тряска на каждом лежачем полицейском в остальном ок,1
Хорошая комфортная поездка,0
Все хорошо,0
У водмтеля не работает приложение [SEP]  Он дважды проезжал мимо меня при подвче в итоге ехал около15 минут [SEP]  А также проехал точку выскдки,0
Единственный недостаток водитель включил ожидание раньше чем подъехал,0
Одел маску на середине пути все ок,0
Оторвалась ручка от двери,0
Все ок,0
Водитель надел маску через несколько минут после начала поездки поэтому отрицательный ответ о присутствии маски выше просьба не учитывать,0
Внутри салона не очень чисто [SEP]  Хоть я заказывала эконом а ко мне приехала по волшебству «машина повышенного класса» то могу сказать что это явно не комфорт класс [SEP]  Ни по поведению водителя ни по марке машины ни по ее чистоте [SEP]  Для эконома норм для комфорта нет,0
Водитель остановился не у нашего офиса и сказал ну это бизнес зона и так ок,0
Начал гнаться за другим водителем махать руками,1
Нормальный водитель,0
Очень приятный водитель крайне вежливый и внимательный,0
Беда с навигацией,0
Я бы не хотел с ним больше ездить,1
1 [SEP]  Приехал не на точку [SEP]  Возможно ошибся адресом [SEP]  Списали платное ожидание пока он искал меня 2 [SEP]  В приложении нельзя было посмотреть где водитель 3 [SEP]  Попросил заправиться [SEP]  Я возразил что спешу на самолет [SEP]  Но тем не менее водитель очень настойчиво требовал чтобы мы в поехали на заправку 4 [SEP]  Не завершив мой заказ водитель принял следующий через Яндекс [SEP]  Вместо того чтобы выслушать где мне удобнее выйти звонил следующему пассажиру и договаривался [SEP]  5 [SEP]  Был без маски [SEP]  Промахнулся по кнопке,1
Все прекрасно,0
Номер был х198са777 но водитель очень приятный,0
Очень странный маршрут [SEP]  Вообще ехал в другую сторону [SEP]  Сначала проехал точку и вместо 1 минуты ехал минут 10,1
Водитель не понимал как ехать пришлось помогать,1
Позитивный водитель,0
Все хорошо поездка комфортная,0
Все ок,0
Все отлично,0
Далеко подача,0
снова номера не совпадают буквы ЕВМ эта машина уже была пару заказов назад правда с другим водителем видимо таксопарк мутит что то,0
Вежливый водитель,0
Хороший водитель кандидат в мастера спорта по плаванию,0
Очень сильно воняет потом машина супер грязная,0
Водитель не приехал к месту назначения встал в другом месте и я искала его 7 минут,0
Водитель надел маску попросил пристегнуться приятная беседа,0
Больше нечего рассказать,0
Все хорошо,0
В оклейке яндекса номер 950,0
Водитель всю дорогу разговаривал по телефону,0
Салон машины не соответствует классу «комфорт» [SEP]  Мало места ехать было очень дискомфортно несмотря на мой небольшой рост [SEP]  Поэтому считаю что цена поездки на такой машине завышена [SEP]  Этот автомобиль соответствует классу «эконом» и не более того,0
Хорошо доехали было очень комфортно,0
Водитель засыпал,1
Запах тяжёлый в салоне бензина,0
Грязно в салоне посреди заднего дивана два грязных слежу от нога,0
Водитель приехал не на точку вызова пошло платное ожидание пока дошли,0
Все хорошо,0
Всё прошло хорошо,0
все норм но к сожалению опять буквы номера не совпадают УЕВ вместо СНВ,0
Вежливый,0
Водитель поздравил с наступающим,0
Агрессивная манера вождения просьба проверить,1
Водитель был в маске не заметил отличный водитель,0
Другие номера у машины цифры совпадают а буквы — нет,1
Авто без оклейки ГОСТ и шашки,0
Водитель завершил поездку когда до точки было ещё 10 минут [SEP]  Он не выгонял довез нас до места но это странно,0
Отличный водитель,0
музыка негромкая вежливый,0
Все хорошо,0
Вызывали машину на Ленинградский вокзал водитель включил машина подана даже не въехав на парковку перед вокзалом в итоге накапало платное ожидание [SEP]  Мелочь но неприятно,0
Сзади нет ремня на одном из сидений,0
Нормально,0
Очень много сигналил за столь короткую поездку раз 40 нажал,1
Все ок,0
Не пропустил пешехода перестраивается в опасной близости от других ТС,1
Хороший водитель я хотел выйти подальше чтоб ему во двор не надо было заезжать он сообщил что ему не сложно и довезёт куда нужно,0
На заднем сидении термокружка чья то каталась,0
Вежливый водитель,0
Каким то образом он смог поставить режим ожидания как только взял заказ [SEP]  19 минут вместо обещанных 6 он ехал до меня и за все это я заплатил,0
В целом могло быть хуже,1
Очень приятный человек развил интересную ненавязчивую беседу,0
Сори запах норм,0
Водитель норм но включил ожидание раньше чем приехал на место и из за неточности в геолокации пришлось ещё ждать его,0
Всё хорошо,0
Все хорошо,0
Без оклейки ГОСТ,0
на полу машины тарифа комфорт лежат картонки выглядит убого,0
Все хорошо,0
Обулейка яндекса,0
Обклейка Яндекс,0
Приехала белая Оптима е092со,0
В машине пакет с мусором и машина совсем не та что в приложении,0
Не порадовало — привёз каким то непонятным маршрутом под шлагбаумы в итоге до места не доехала пришлось доходить пешком что я по морозу с тяжёлым рюкзаком не очень рада делать,0
Какой то он слегка хамоватый но не сказать чтобы прямо уж «некорректное поведение»,1
Хороший вежливый водитель,0
Отличается гос [SEP]  номер ГОСТ оклейки тоже нет машина в очень плохом состоянии по ходовой части [SEP]  П [SEP] с [SEP]  По ошибке указал что номер верный,0
Все хорошо,0
Неприятный запах возможно курение и не очень хорошее радио но это не так важно,0
Все отлично,0
Грубый,0
Все ок,0
Водитель молчал и смеялся над нашими упоротыми шутками классный комфортный водитель,0
Тупое радио приехал не туда сначала не поздоровался,0
Не то чтобы что нибудь случилось но это была далеко не самая комфортная поездка [SEP]  Не хотелось бы чтобы водитель ко мне еще раз приехал добавьте пожаоуйста в нежелательные [SEP]  Просто ехал так что меня очень сильно укачало аж плохо стало [SEP]  А беседа вроде непринужденная но чувствовала себя очень дискомфортно [SEP]  Рассказывал что жил в соседнем доме начал спрашивать в какую школу ходила [SEP]  Узнав что приехала из другого города сказал «понаехавшая» [SEP]  Вроде и ничего такого но осадочек остался,1
Все отлично приехал на предзаказ ожидал довёз аккуратно,0
Хороший спокойный водитель,0
Гоняет пролетает светофоры на желтый не комфортно и не безопасно,1
Накурено в салоне,0
Все хорошо,0
Поездка комфортная но кузов автомобиля грязный для сухой поездки,0
Водитель все же надел маску через минуту после того как я ответил боту что он без нее,0
Этот водитель с 83 года в такси он профессионал считает что нам нужно лучше работать с водителями инструктировать сертифицировать помогать и воспитывать пассажиров им можно все а у водителей прав нет считаю нужно прислушаться Айдар хороший,0
Реальный номер у396ма799,0
Вежливый молчаливый водитель Жалко что собрали все светофоры,0
Все ок,0
Очень плохая манера вождения резкие изменения скорости и маневры,1
Вроде все,1
Иы ехали не по навигатору пропустили поворот пришлось выйти не доехав 200 метров до точки,0
О,0
Номер авто который приехал не совпадал с указанным в приложении,1
Все хорошо,0
Очень приятный водитель,0
Быстро,0
Первоначально был назначен один водитель машина м823хн в сообщение написал что номер другой далее переназначился корректный авто по классу с номером ок497 поездка прошла хорошо,0
Водитель отличный водит хорошо машина чистая ухоженная [SEP]  Треснут слегка задний бампер [SEP]  А вот буквы на гос номере не совпадают,0
Все было хорошо [SEP]  Очень вежливы водитель в белой рубашке [SEP]  В машине очень хорошо пахло,0
Маску водитель надел минут через 5 так что все хорошо,0
Другие номера,0
Комфортная поездка,0
Машина вся грязная и снаружи и внутри,0
Маску надел все ок,0
Очень быстро ехал резко газовал и тормозил,1
Водитель слабослышащий [SEP]  Удивляет что сервис об этом не предупреждает [SEP]  Часто это ставит пассажира в крайне неудобную ситуацию [SEP]  Но это вопрос не к водителю а к сервису [SEP]  Водитель прекрасный,0
Замечательный водитель,0
Все хорошо,0
Не хотел брать меня с длинномером,0
Смотрит на смартфоне выступление Эрдогана всю дорогу,1
Прекрасный водитель,0
Машина другого цвета вместо белой приехала серебряная,0
Нет оклейки ГОСТ,0
Грязный салон,0
Отличная музыка,0
Приятная поездка,0
Водитель закончил поезду за 3 минуты до того как действительно довез меня до точки,0
Ел пил и пердел пока ехали,0
Все ок,0
Водитель очень долго рассуждал на тему того в каком плохом районе я живу в остальном все ок,0
Очень приятный водитель,0
Потрясающий водитель,0
Подложные номера,0
Все хорошо,0
Разговаривал по телефону во время движения,0
Подлог,0
Все отлично спасибо [SEP]  попросила немного изменить маршрут и вышла раньше,0
Всё хорошо,0
Отличный водитель,0
Все хорошо,0
Водитель не довез до точки остановился где ему было удобно [SEP]  Было очень жарко на просьбу уменьшить печку сказал что не может печка была исправна с его слов,1
боялся камер видимо и пару минут медленно уезжал от меня не могла нормально сесть в машину,0
Номера совсем грязные ничего не видно,0
Всё хорошо,0
Хороший водитель,0
Нельзя заднее окно из за наклейки тонировки [SEP]  Водитель много матерится на других водителей,0
Все супер приятный водила,0
Больше нечего сказать,0
Очень рваная манера езды,1
Поставил «на месте» хотя по факту еще ехал к нам,0
Знание района,0
Хороший водитель,0
Опасное вождение кричал в окно на другого водителя,1
Доехали по правилам но быстро и аккуратно [SEP]  Все супер [SEP]  Водитель помог вытащить багаж,0
Водитель делал видеосозвоны в вотсапе во время поездки был без маски просил оценку,1
Водитель чистил уши во время поездки,0
Все,1
В салоне неопрятно неаккуратно,0
Ужасно накурено [SEP]  Но сам водитель ок,0
Круто водит [SEP]  Мягко [SEP]  Резко не тормозит плавно разгоняется [SEP]  Очень приятная поездка,0
Хороший водитель,0
Водитель не пристегнут,1
Пристегнуться бы водителю не помешало,0
Странно что в комфорт плюс у человека на всю громкость играет странная фигня по радио и он даже не спрашивает не предлагает ее убавить или ок ли она вообще,0
Вежливый и в хорошем настроении водитель приятно,0
Маска приспущены обматерил другого таксиста,0
Всё хорошо,0
Не совпадает цвет машины,0
Сначала приехал не по адресу потом поехали по странному маршруту вкруг,0
Доброжелательный хорошо поговорили,0
Машина не оклеена по ГОСТу [SEP]  Возможно нет лицензии или подлог номеров,0
очень классный водитель,0
Всю дорогу разговаривал сам с собой на своём языке,1
Все супер ,0
Картонки на ковриках,0
Сильно укачивает резко тормозит и качает при езде едет агрессивно слушает радио шансон просил покурить в машине [SEP]  Это не комфорт это хуже чем средний эконом ,1
Приятный вежливый водитель,0
Мы ехали саааааамым долгим путём [SEP] просто максимально неудачным,1
Надо добавить варианты не знаю на вопросах про номер и марку машины [SEP]  Или вариант уточню в конце поездки,0
Отличный водитель,0
Отвратительный водитель,1
Отсутствие шашек на крыше хотя я заказывал машину с возможностью ездить по полосе,1
Хороший водитель,0
Водитель с хорошим чувством юмора,0
Очень хороший водитель,0
Цвет был серебристый Номер в905ев147,0
Хороший водитель [SEP]  Кепка олимпийка Адидас и очень вежливый,0
Очень хороший водитель,0
Нет оклейки ГОСТ,0
Не здравствуйте не до свидания пришлось ждать возле машины водителя салон грязный внешний вид ужасный предлагал выйти не в той точке куда указан адрес доставки якобы крутиться ему долго  [SEP]  Ужасная поездка,1
Водителей очень неаккуратно орал что не поедет за такую цену,1
Очень ухоженная машина,0
Все было отлично [SEP]  Побольше таких водителей,1
Номер автомобиля был другой оставил комментарий в приложении [SEP]  Также машина была грязная и правый передний бампер со следами потёртости и краски надо полагать другого автомобиля,0
Модель машины Ford Focus не похожа на машину комфорт класса [SEP]  Салон тесный и узкий [SEP]  Мой рост 167 см и мне ноги поставить некуда было [SEP]  Что говорить о более высоких пассажирах [SEP]  Какой же это комфорт если приходится складываться пополам [SEP]  Конкретно в этой машине салон был еще и грязный [SEP]  В машине что то барахлило во время езды [SEP]  Было ощущение что едешь в разбитой шестерке [SEP]  Это точно не комфорт класс [SEP]  Обратите внимание я уже не первый раз пишу именно об указанной модели машины [SEP]  Она не комфортна для поездок [SEP]  Даже в эконом классе есть более комфортные автомобили,1
У меня не правильно определилась точка местоположения водитель без лишних уговоров доехал до моего фактического местоположения,0
Все понравилось,0
Водитель очень классный вежливый  [SEP]  Спросил есть ли пожелания какие какую музыку включить [SEP]  Прям как в бизнес классе  [SEP]  Такой позитивной поездки не было давно  [SEP]  Респект этому водителю,0
Всем довольна,0
Очень вежливый и приятный Водитель,0
На машине не было шашечек и фонаря не было атрибутики такси,0
Приветствие клиента было бы не плохо  [SEP]  Когда с клиентом не здороваются и не прощаются ощущения не из приятных,0
Небезопасное вождение водитель все время сидел в телефоне пропустил пару раз нужные повороты поездка из за этого увеличилась минут на 15 20,1
Смотрел сериал,0
Отличный водитель,0
Машина чистая но много царапин [SEP]  Поэтому ответ нет про повреждения,0
накурено немного,0
Буквы в номере не совпадают с приложением [SEP]  Цвет не белый а серебристый,0
Водитель в середине поездки надел маску сам,0
Очень приятный и вежливый водитель,0
Машина без опознавательных знаков такси,0
смутило что говорил по телефону во время езды,0
Водитель чудесный [SEP]  Очень вежливый корректный внимательный [SEP]  Автомобилем управляет божественно в общем крутой дядька ❤️,0
Вод [SEP]  вежливый внимательная уравновешенная манера вождения,0
Все остальное ок,0
все супер,0
заказывал не себе не могу ответить,1
На заднем сиденьи отсутствуют или спрятаны ремни безопасности [SEP]  Пристегнуться возможности нет,0
Заказ завершил раньше времени [SEP]  Во дворах стал спрашивать дорогу [SEP]  Перед машины битый задний бампер на соплях салон убитый [SEP]  Водит товарищ тоже опасно,1
Водитель приехал изначально не в ту точку куда я заказывала [SEP]  Пришлось по телефону вести его район он тоже не знал и не мог сориентироваться,0
Всю поездку водитель пытался открыть окно после замечания закрыл [SEP]  Однако на остановках светофора все равно открывал,0
Нет оклейки ГОСТ и шашечек,0
Классный водитель,0
Ошибочно поставил нет в вопросе с запахом,0
Вежливый водитель маску надел через пару минут после начала поездки все понравилось,0
Комфортная поездка,0
Водитель оптимизирует свой маршрут по дистанции даже если маршрут дольше намного выходит,0
Водитель всю дорогу жаловался и злился зачем он взял заказ в этот район,0
В машине предлагаются конфетки,0
Водитель обращался на ТЫ называл дружищей [SEP]  Приехал не на адрес проехал мою конечную точку просил подсказать дорогу,0
Водитель кормит конфетками,0
Водитель маску надел когда поехали [SEP]  Отметил неверно,0
Очень вежливый увидел что у меня с собой была коробка подъехал максимально близко к дому чтобы мне было удобно,0
Все хорошо,0
Все хорошо,0
Машина в оклейке Яндекса,0
Очень крутой водитель [SEP]  Но с Таджикскими правами и без лицензии [SEP]  Но очень любит свою работу помогает людям в сложных ситуациях и хорошо говорит по русски [SEP]  Помочь бы ему с нормальными правами и лицензией [SEP]  Рассказал пару историй что его кидали на деньги при попытке сделать права нелегальными способами,0
Чудесная поездка,0
Не пристегнулся,0
Надел маску чуть позже,0
Забрал не из той точки чуть чуть,0
Очень хороший водитель [SEP]  Побольше бы таких,0
Отличный водитель помог с грузом в багажнике,0
Уве буквы на номере были,0
Водитель приятный искренний и честный ,0
Водитель агрессивно водит,1
Водитель супер,0
Очень вежливый и приятный водитель,0
Номер все таки не тот [SEP]  Цифры совпали буквы нет,0
Манера вождения водителя была небезопасной [SEP]  В машине пахло просто ужасно либо водитель болен либо в машине что то гниет,1
Чудесный водитель,0
Все норм,0
Просил отменить заказ и чтоб я оплатила ему на карту,0
Сказал что такую молодежь как я надо воспитывать и пороть ремнем,0
Водитель очень нервный езда агрессивная,1
Случайно отметила что в машине пахнет ок пахло сильно куревом,0
Дважды чуть не попали в дтп,1
Все хорошо,0
Громко играет унылая музыка и навигатор громкий комфорт плюс из за этого катко не комфорт,0
Водитель все дорогу переписывался в ватсапе [SEP]  Ладно бы в телеграме но ватсап в 2к21 это зашквар,1
Водитель не был пристегнут и периодически смотрел на меня вместо того чтобы смотреть на дорогу [SEP]  Было приятно но не безопасно,0
Поездка была предварительная время начала ее еще не настало но водитель звонит и говорит что я должен торопиться,0
Отличный водитель,0
Н801те799 номер разбит задний бампер,0
В машине есть наборы конфет водитель предложил угощаться [SEP]  Но не это больше порадовало а то что водитель завернул на стоянку и там остановился [SEP]  Обычно таксисты останавливаются возле ТЦ и создают помехи другим водителям [SEP]  На дороге чувствует себя уверенно [SEP]  Не создавая опасных ситуаций очень грамотно объезжал заторы не нарушая правил,0
Порадовал стиль общения,0
В первом вопросе случайно нажала «нет» с машиной все ок,0
Цифры номера такие же а буквы вроде сас или что то на «с»,0
Очень хороший попался водитель,0
даже оставила чаевые водитель очень вежливый и внимательный,0
Водитель надел маску в процессе поездки,0
Все хорошо,0
Пропустил 3 поворота уехали в другую сторону,1
Грязная машина запах неприятный вождение водителя некомфортное,1
Супер [SEP]  Водитель помог все донести почти до квартиры,0
Часть дороги водитель сидел в телефоне что не очень здорово,1
Водитель после начала поездки надел маску поэтому ответ выше просьба не учитывать,0
В действительности белая Шкода о176рм777,0
Машина битая в бок внутри пахнет сигаретами водитель возмущался что оплата по безналу ругался на навигатор,0
Нажал «приехал» не подъехав к точке,0
Все хорошо,0
Гос номер другой т317мк71 ,0
Очень комфортная поездка [SEP]  И отличный сервис,0
Нравится машинка,0
Все хорошо,0
Очень опаздывала на пары попросила водителя как нибудь побыстрее доехать приехали вовремя,0
можно в повышенные классы рекомендовать,0
Хороший водитель,0
Сидит в телефоне во время поездки не пристегнут завершил заказ раньше чем доехал,0
Хороший водитель,0
Водитель на протяжении всей поездки почти не смотрел на дорогу постоянно был в телефоне звонил кому то переписывался видео смотрел и тд,1
По мобиле говорил всю поездку в наушниках,1
Резко тормозит и разгоняется [SEP]  Не показывает поворотники опасно подрезает [SEP]  Ехал не пристегнутым и без маски,1
Очень приятный водитель внимательный помог при посадке,0
Номер залеплен снегом и не читается,0
Маску водитель надел,0
Приятный водитель обходительный ,0
Прокуренный салон,0
Машина просто грязная,0
Пример идеальной поездки и оснащения машины,0
Не касаемо поездки почему у меня не накапливается больше 1105 баллов,0
Добрый вечер Я вижу что водитель поставил ожидание в тот момент когда он еще подъезжал к вокзалу [SEP]  Мы ждали его около парковки [SEP]  Как только он подъехал — мы сразу же загрузились [SEP]  Я вижу что поставил на оплату платное ожидание [SEP]  Можете пожалуйста помочь,1
Во всем отличный водитель но превышал скорость,1
Номер машины другой т212ов799,0
Классный водитель,0
Замечательный собеседник,0
Пахло сигаретами в машине,0
очень вежливый и приятный человек,0
Разговаривал по телефону,0
Все супер  [SEP] приятное такси,0
Агрессивное вождение ругань матом,1
Ужасно вел машину,1
Едет 45км в час очень медленно и тупит при перестроении,1
Водитель включил на месте ДО подъезда на точку А после звонка с вопросом вы где почему включено ожидание пообещал что ожидания не будет но минуту ожидания в финальный чек включил [SEP]  Вообще мутный чувак по пути взял еще один заказ и отменил хорошо бы присмотреться на предмет фрода [SEP]  Мой заказ https city mobil [SEP] ru taxiserv order 1986662963,0
Комфортная поездка,0
Очень хороший водитель,0
Очень некомфортная манера вождения постоянно обгонял участников движения ему несколько раз сигналили он резко тормозил неоднократно не пристегнут без маски и на автомобиле с большой вмятиной сбоку [SEP]  На мой взгляд все очень не соотвествует тарифу Комфорт,1
Подал машину за 500 метров до меня [SEP]  Фактические ещё ехал все 3 минуты ожидания,0
Я еще еду но водитель завершил поездку,1
Очень приятный водитель,0
Машина новая чистая приятная водитель вежливый,0
Водитель постоянно спрашивал дорогу смутило [SEP]  Перебивал разговор и спрашивал куда ехать хотя у него должен быть навигатор,0
молчаливый не ставил громкой музыки вежливый,0
Ехать было Овер стрёмно [SEP]  Водителя метало на соседние полосы постоянно какие то экстренный повороты с механикой,1
Все прекрасно,0
Машина брендирована под Яндекс такси,0
Очень приятный вежливый водитель чистая машина,0
Номер машины грязный еле удалось разглядеть цифры,0
Водитель явно выглядел уставшим [SEP]  Пропустил несколько поворотов и с трудом управлялся с навигатором,1
Это опасный водитель [SEP]  Несет угрозу пассажирам [SEP]  Рассказывает истории как он гонялся на скорости 230 [SEP]  Предлагает экстрим в открытую,1
Быстрая манера вождения [SEP]  Сумку маленькую попросил убрать в багажник,1
Водитель полез в бардачок в это время дорога освободилась [SEP]  Я ему сказал что нужно ехать после этого он предложил мне самому сесть за руль,1
Бренд Яндекс,0
Веселый водитель,0
Странно ехал к подаче получилось долго,0
Очень ок корректный аккуратный водитель,0
Реальный номер м726от750,0
Порадовала быстрая подача автомобиля обычно машину невозможно найти,0
Великолепный водитель [SEP]  Радио Релакс фм он в пиджаке есть вода жевачка антисептик ❤️ зарядки в доступе,0
очень классная поездка,0
Есть не понимание такси это или просто белый авто [SEP]  Шашек нет наклеек нет,0
Сегодня радует быстрый поиск автомобиля,0
Нервный неадекват,1
Вежливо и быстро,0
Отличный водитель,0
Водитель не был пристёгнут,0
Не было зеркала заднего вида,0
В машине стоял очень резкий неприятный запах от водителя [SEP]  Списал деньги за ожидание которого не было,1
Водитель как то слишком агрессивно отнесся к тому что точка подачи машины была выбрана точкой на карте а не вбита адресом,0
по ошибке поставил Нет в вопросе про запах в авто с запахом всё ОК,0
С левой стороны машины на пассажирской двери оторвана ручка,1
У водителя похоже нет лицензии,0
Нечего больше добавить,0
Ощущения что эконом был,1
Я еще еду до места не доехали,1
Небезопасное вождение [SEP]  Шашечник  [SEP]  Перестраивается на носу у других участников движения не держит безопасную дистанцию [SEP]  Резкие перестроения резкое торможение,1
Очень приятный общительный добрый водитель,0
Очень классный водитель [SEP]  Добрый и весёлый,0
Подал а м не на точку,0
У водителя есть замечания по работе сервиса Часто время в пути рассчитываться неправильно Находясь в центре часто не берутся заказы и после этого списываются баллы мотивации предположу что проблема в плохом соединении возможно стоит учитывать что пользователь нажимал и пытался взять заказ в таком случае его вины нет Не всегда приходит уведомление об отмене Водитель рассказал что ему был подарок на день рождения 6 часов за 1 рубль мы с ним не смогли разобраться как активировать этот подарок во время покупки было предложено только купить абонемент на 7 дней Не хватает в приложении функции По делам чтобы водитель мог указать нужный ему адрес и система попыталась дать ему заказ в данную точку на данный момент только Дом Точка подачи не соответствует действительности,0
Все отлично,0
Машина грязная очень плохо видно номер,0
Он надел маску как только мы поехали все ок Вежливо спросил не включить ли мне музыку,0
Все хорошо,0
Отметил что приехал не доехав,0
остановился намного дальше где была указана точка посадки,0
Чуть не задавил ребенка во дворе тот отпрыгнул аж [SEP]  Водит не комфортно везде пытается вклиниться [SEP]  Разгоняется не успевает тормозит,1
В салоне было очень душно Укачало,0
Водитель был в маске [SEP]  Миссклик,0
Отличный водитель [SEP]  Спасибо,0
буквы в номерах не совпали,0
Больше не чего добавить,0
Водитель не умеет водить и ездить по навигатору,1
Сначала подъехал не туда но после звонка исправился,0
Очень приятный и вежливый водитель,0
Все отлично ❤️,0
Неприятный ароматизатор в салоне,1
Хорошо доехала,0
Нет признаков такси и неправильные номера,0
Водитель отметил что был на месте фактически его не было и я его ждал на улице [SEP]  Платное ожидание накрутка с его стороны,1
Максимально обычная поездка все хорошо,0
Всё отлично приятный водитель,0
Всё ок подвёз к двери,0
Эта ужасная программа лояльности с баллами [SEP]  Это просто ужас со всех сторон [SEP]  Например с одной — крайне часто машины не ищутся я как идиот стою в коридоре и жду пока терпение лопнет и я вызову Яндекс [SEP] Такси [SEP]  С другой — программа лояльности которая говорит мне «ну давай ещё поездочку ну ну может еще одну [SEP]  А то уровень потеряешь» [SEP]  Эти две стороны не могут существовать вместе [SEP]  Я думаю сначала нужно сделать так чтобы машины искались хотя бы с пятого раза а потом уже делать программу лояльности которая заставляет тебя заказывать такси именно у Ситика [SEP]  Я ужасно зол на ваши копирайты про «ну давай поднажми до 18 числа ну [SEP] » потому что тупо не могу ничего поделать — тачки не ищутся,0
Классный дедушка,0
Очень резкая манера вождения,1
Все хорошо,0
Вёл себя агрессивно сказал иную сумму потом сказал что шутил,0
Ехал на 3ку смотрел в пробках Ютюб,1
Классный водитель очень отзывчивый манера вождения очень спокойная и плавная,0
Разговаривал по телефону всю поездку,0
Идеально чистая машина,0
Отличный водитель знающий город профессиональное вождение,0
Машина грязная настолько что задние номера вообще не читаются,0
Редкостный вредитель [SEP]  Сначала не открывал замок дверей и выдвинул пассажирское переднее кресло до упора так что невозможно было сесть на задний ряд [SEP]  Отвратительная манера вождения [SEP]  Разговаривает по телефону во время езды,1
1 [SEP]  Попросил заехать на заправку [SEP]  То предложение от которого невозможно отказаться лучше заправиться чем не доехать [SEP]  Но на мой взгляд заправка должна происходить а перерыве между поездками [SEP]  и не отнимать времени пассажира [SEP]  2 [SEP]  Непонятно зачем периодически открывал форточку [SEP]  Продувало,1
Чёрная джета в комфорте [SEP]  Мы уверены что есть лицензия,0
Идеальный водитель,0
Передайте в антифрод [SEP]  Водитель одновременно работает на двух телефонах в ситимобил [SEP]  Пока ехали с другого телефона принял заказ в ситике но мы ещё даже не доехали а значит клиент будет долго ждать и ему даже не напишет что водитель выполняет другой заказ,0
Водитель настоящий джентельмен,0
Очень крутой водитель вежливый есть маски антисептики очень крутая поездка,0
Был затхлый запах в машине я не сразу почувствовала,0
Всё в порядке,0
Водитель вел машину небезопасно,1
Ездит на запрещающие знаки и материться,1
Машина без атрибутики такси,0
Приятная музыка ❤️,0
Отличный водитель,0
Водитель рассказал что употреблял спайс перед поездкой,0
Приехал чёрный солярис буквы в номере другие,0
Водитель вежливый,0
Отличный водитель,0
Что то с коробкой,0
Радио шансон,0
Отличный и вежливый водитель [SEP]  Знающий удачные пути подъезда,0
Проставлено «на месте» далеко от точки подачи [SEP]  Начинается отсчёт ожидания а водитель далеко,0
Очень грязная машина,0
Ведёт постоянно газуя и тормозя [SEP]  Стошнило после поездки,1
Водитель общался по телефону во время вождения,1
Все отлично,0
В машине ужасно воняло грязно водитель не умеет водить,1
немного оглядевшись в машине кажется что машинку хорошо бы было помыть,0
Маневрировал сильно,1
Резкое вождение обгоны и торможение [SEP]  Включил свою музыку достаточно громко не спросив меня [SEP]  Отвлекался на телефон чтобы ставить свою музыку,1
Разговаривал по телефону за рулем вёл резко выругался,1
Водитель всю дорогу комментировал другие машины,0
Водитель всю дорогу говорил по телефону,1
Супер водитель,0
Водитель нахамил,0
Странная вибрация авто Конда оно стоит на светофоре,0
Водитель какой то дёрганный не совсем понял с чем это связанно,0
Отписался подробно в отзыве по заказу,1
